Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
AAPB,GraniteShares 2x Long AAPL Daily ETF,Financial,Exchange Traded Fund,USA,,,26.44,0.0048,344235.0
AAPL,Apple Inc,Technology,Consumer Electronics,USA,3639940000000.0,33.2,247.65,0.0039000000000000003,54139306.0
AAPU,Direxion Daily AAPL Bull 2X Shares,Financial,Exchange Traded Fund,USA,,,27.7,0.008,4040072.0
AAPW,Roundhill AAPL WeeklyPay ETF,Financial,Exchange Traded Fund,USA,,,35.67,0.0068000000000000005,23006.0
AAPX,T-Rex 2X Long Apple Daily Target ETF,Financial,Exchange Traded Fund,USA,,,25.05,0.0052,395515.0
AAPY,Kurv Yield Premium Strategy Apple (AAPL) ETF,Financial,Exchange Traded Fund,USA,,,22.24,-0.0074,9018.0
ABOT,Abacus FCF Innovation Leaders ETF,Financial,Exchange Traded Fund,USA,,,36.68,0.009000000000000001,508.0
ABTC,American Bitcoin Corp,Financial,Capital Markets,USA,1460000000.0,,1.57,0.0064,10548012.0
ACCL,Acco Group Holdings Ltd,Industrials,Consulting Services,Hong Kong,20640000.0,157.45,1.48,-0.1494,515438.0
ADBE,Adobe Inc,Technology,Software - Application,USA,120780000000.0,17.61,294.23,0.013300000000000001,5622367.0
ADBG,Leverage Shares 2X Long ADBE Daily ETF,Financial,Exchange Traded Fund,USA,,,7.12,0.0259,1311054.0
ADSK,Autodesk Inc,Technology,Software - Application,USA,54580000000.0,49.98,257.44,0.0141,2342221.0
AEYE,AudioEye Inc,Technology,Software - Application,USA,110400000.0,,8.89,-0.0155,192919.0
AIG,American International Group Inc,Financial,Insurance - Diversified,USA,38790000000.0,12.89,71.89,-0.0076,3790508.0
AIIO,Robo.ai Inc,Consumer Cyclical,Auto Manufacturers,United Arab Emirates,89220000.0,,0.24,-0.0538,1274793.0
AIXI,Xiao-I Corp ADR,Technology,Software - Application,China,4320000.0,,0.32,-0.0406,262716.0
ALIT,Alight Inc,Technology,Software - Application,USA,831800000.0,,1.56,0.0196,13373838.0
ALKT,Alkami Technology Inc,Technology,Software - Application,USA,2060000000.0,,19.62,-0.005600000000000001,1603905.0
AMCX,AMC Networks Inc,Communication Services,Entertainment,USA,338200000.0,,7.77,-0.0115,489274.0
AMDD,Direxion Daily AMD Bear 1X Shares,Financial,Exchange Traded Fund,USA,,,7.97,-0.077,25170852.0
ANEB,Anebulo Pharmaceuticals Inc,Healthcare,Biotechnology,USA,44780000.0,,1.09,0.0,72620.0
ANY,Sphere 3D Corp,Financial,Capital Markets,USA,9200000.0,,0.27,-0.068,504175.0
AON,Aon plc,Financial,Insurance Brokers,Ireland,71520000000.0,26.65,332.76,-0.0199,1592731.0
AOTS,AOT Software Platform ETF,Financial,Exchange Traded Fund,USA,,,23.43,0.0018,12500.0
APLT,Applied Therapeutics Inc,Healthcare,Biotechnology,USA,14630000.0,,0.1,0.013999999999999999,5212531.0
APLY,YieldMax AAPL Option Income Strategy ETF,Financial,Exchange Traded Fund,USA,,,12.12,0.0017000000000000001,167793.0
APPN,Appian Corp,Technology,Software - Infrastructure,USA,2100000000.0,,28.41,0.0028000000000000004,827768.0
AQST,Aquestive Therapeutics Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,409930000.0,,3.36,-0.0345,5451547.0
ARBK,Argo Blockchain Plc ADR,Financial,Capital Markets,United Kingdom,1430000.0,,4.32,-0.057699999999999994,70376.0
AREB,American Rebel Holdings Inc,Consumer Cyclical,Footwear & Accessories,USA,3470000.0,,0.44,-0.0768,882552.0
ASAN,Asana Inc,Technology,Software - Application,USA,2530000000.0,,10.68,-0.006500000000000001,2898513.0
ASMB,Assembly Biosciences Inc,Healthcare,Biotechnology,USA,416780000.0,,26.35,-0.0168,116287.0
ASNS,Actelis Networks Inc,Technology,Communication Equipment,USA,3530000.0,,0.44,0.0066,293451.0
ATPC,Agape ATP Corp,Consumer Defensive,Packaged Foods,Malaysia,4099999.9999999995,,0.08,-0.0421,2992609.0
ATRA,Atara Biotherapeutics Inc,Healthcare,Biotechnology,USA,33170000.0,2.1,4.6,0.06480000000000001,418412.0
AUDC,Audiocodes,Technology,Communication Equipment,Israel,225560000.0,17.72,8.21,-0.015600000000000001,168412.0
AZYY,GraniteShares YieldBoost AMZN ETF,Financial,Exchange Traded Fund,USA,,,18.55,0.0011,8507.0
BANL,CBL International Ltd,Energy,Oil & Gas Midstream,Malaysia,9590000.0,,0.35,-0.0478,21734.0
BBNX,Beta Bionics Inc,Healthcare,Medical Devices,USA,725080000.0,,16.47,-0.1063,1748733.0
BCAB,BioAtla Inc,Healthcare,Biotechnology,USA,19210000.0,,0.3,-0.0643,2073766.0
BCKT,LifeX 2030 Income Bucket ETF,Financial,Exchange Traded Fund,USA,,,45.74,0.0,0.0
BDMD,Baird Medical Investment Holdings Limited,Healthcare,Medical Devices,China,41870000.0,,1.14,0.0,229377.0
BETZ,Roundhill Sports Betting & iGaming ETF,Financial,Exchange Traded Fund,USA,,,19.14,-0.0016,16500.0
BGLC,BioNexus Gene Lab Corp,Basic Materials,Specialty Chemicals,Malaysia,5510000.0,,3.07,-0.07339999999999999,12799.0
BGLD,FT Vest Gold Strategy Quarterly Buffer ETF,Financial,Exchange Traded Fund,USA,,,18.03,0.0,47224.0
BILL,BILL Holdings Inc,Technology,Software - Application,USA,4450000000.0,,44.39,-0.013600000000000001,3286447.0
BNGE,First Trust S-Network Streaming and Gaming ETF,Financial,Exchange Traded Fund,USA,,,36.08,-0.001,814.0
BOED,Direxion Daily BA Bear 1X Shares,Financial,Exchange Traded Fund,USA,,,15.54,-0.0046,25400.0
BOX,Box Inc,Technology,Software - Infrastructure,USA,3730000000.0,20.98,26.02,0.0054,2274465.0
BR,"Broadridge Financial Solutions, Inc",Technology,Information Technology Services,USA,24150000000.0,26.45,206.85,-0.0116,1227092.0
BRCB,Black Rock Coffee Bar Inc,Consumer Cyclical,Restaurants,USA,891500000.0,,17.81,-0.022000000000000002,383993.0
BRKC,YieldMax BRK.B Option Income Strategy ETF,Financial,Exchange Traded Fund,USA,,,43.33,-0.0016,11095.0
BRKU,Direxion Daily BRKB Bull 2X Shares,Financial,Exchange Traded Fund,USA,,,22.88,-0.0060999999999999995,193741.0
BRKW,Roundhill BRKB WeeklyPay ETF,Financial,Exchange Traded Fund,USA,,,42.23,-0.0012,20338.0
BRSL,Brightstar Lottery PLC,Consumer Cyclical,Gambling,United Kingdom,2640000000.0,12.5,13.95,0.0022,2139160.0
BRZE,Braze Inc,Technology,Software - Application,USA,2710000000.0,,24.14,-0.0029,2006540.0
BTF,CoinShares Bitcoin and Ether ETF,Financial,Exchange Traded Fund,USA,,,5.34,0.0087,74290.0
BTOG,Bit Origin Ltd,Financial,Financial Data & Stock Exchanges,Singapore,7160000.0,,4.81,-0.049400000000000006,180417.0
BTRN,Global X Bitcoin Trend Strategy ETF,Financial,Exchange Traded Fund,USA,,,27.6,0.0006,162.0
BZQ,ProShares UltraShort MSCI Brazil Capped ETF -2x Shares,Financial,Exchange Traded Fund,USA,,,12.55,-0.0833,25277.0
CABO,Cable One Inc,Communication Services,Telecom Services,USA,475780000.0,,84.43,0.0102,168566.0
